Ingrediens (100g),Kalorier,Protein,Fett,Kolhydrater,Fibrer,Socker,MUFA,PUFA,SFA,GL,
Mandelmjöl,480,22,51,20,10,5,32,12,4,0,
Teffmjöl,367,13,2,73,8,2,1,1,0,43,
Rågmjöl (mörkt),324,14,3,69,23,1,0,1,0,26,
Havremjöl,260,12,8,58,10,2,2,3,1,16,
Havreflingor,389,17,7,66,12,0,2,3,1,11,
Chiafrön,490,16,31,44,38,0,2,23,3,2,
Linfrön,534,18,42,29,27,2,8,29,4,0,
Psyllium,333,0,0,89,78,0,0,0,0,0,
Hampafrön,586,32,49,5,4,2,5,38,5,0,
Solrosfrön,584,21,52,20,9,3,19,23,5,0,
Pumpafrön,541,25,46,18,4,1,14,21,9,2,
Riven kokos,660,7,65,24,16,7,3,1,65,0,
Valnötter,618,24,59,10,7,1,15,35,3,0,
Macadamianötter,718,8,76,14,9,5,59,2,12,0,
Hasselnötter,628,15,61,17,10,4,46,8,5,0,
Cashewnötter,553,18,44,33,3,6,24,8,8,11,
Jordnötter,567,26,49,16,9,4,24,16,7,0,
Paranötter,659,14,67,12,8,2,24,24,16,0,
Olivolja (1 dl),804,0,91,0,0,0,65,10,13,0,
Vassleprotein,373,73,4,10,3,5,1,0,2,5,
"Hasselnötter, rostade",646,15,62,18,9,5,47,9,5,0,
Spenat,23,3,0,4,2,0,0,0,0,1,
"Sojafärs, Hälsans Kök",151,20,3,15,8,4,1,1,1,10,
"Burgare, HK (1 st)",118,13,4,5,2,1,1,1,1,4,
"Köttbullar, HK",,,,,,,,,,,
"Hamburgarbröd (ljust, 1)",161,5,4,26,1,5,1,1,1,30,
"Hamburgarbröd (grovt, 1)",160,5,3,26,4,2,1,2,0,20,
"Gräddfil (12%, 100g)",137,3,12,4,0,3,3,0,8,2,
Ostskiva (13g),46.41,3.25,3.64,0.13,0,0.13,1.04,0.13,2.34,0.13,
"Ost, edamer",357,25,28,1,0,1,8,1,18,1,
Avocado (Hass),167,2,15,9,7,0,10,2,2,2,
Gurka,15,1,0,4,1,2,0,0,0,1,
"Salsa, Santa Maria",36,2,0,6,0,4,0,0,0,3,
Mangold,19,2,0,4,2,1,0,0,0,2,
Broccoli,34,3,0,7,2,3,0,0,0,3,
Fetaost,264,14,21,4,0,4,5,1,15,3,
Lax (torr värme),206,22,12,0,0,0,4,4,3,0,
Tomat,18,1,0,4,1,3,0,0,0,1,
Tonfisk,,,,,,,,,,,
Kronärtskocka,,,,,,,,,,,
Pasta,,,,,,,,,,,
Blomkål,,,,,,,,,,,
"Onaka, fil",50,4,1.5,4,0,4,0,0,1,4,
Hasselnötssmör,,,,,,,,,,,
BreOliv Original,819,0,91,0,0,0,60,9,22,0,
Chokladruta,59.2,1,5.5,1.4,0,0.7,1.7,1.4,1.4,0.3,
Choklad 90%,592,10,55,14,0,7,17,14,14,3,
Blåbär,43,0,0,7,3,7,0,0,0,3,
Heinz Ketchup,102,1,0,23,0,23,0,0,0,13,"(1 ml = 1g, så 15g på en burgare)"
Heinz (1 msk ),15.3,0.15,0,3.45,0,3.45,0,0,0,1.95,
"Knäckebröd ""Harmoni"" (37g)",131,4,2,21,7,0,0,0,0,3,(de mediumstora 2 dm bröden väger 37.1g)
Kavli burgardressing,600,1,62,7,0,6,37,19,5,6,